"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000096","sulfur amino acid metabolic process","26/1875","46/5796",0.565217391304348,1.7472,3.51812115816811,0.000589521194820119,0.0268731263686668,0.025151978512883,"YNL277W/YLL062C/YPR118W/YFR055W/YDR253C/YER052C/YGR204W/YHR208W/YNL239W/YJR010W/YGL184C/YPR167C/YLL058W/YLR303W/YJR137C/YMR009W/YKR069W/YIR017C/YJR024C/YIL046W/YJR148W/YPL273W/YHR205W/YKL001C/YAL012W/YNL103W",26
"GO:0009063","amino acid catabolic process","29/1875","53/5796",0.547169811320755,1.69141132075472,3.49650334323406,0.000601948517586322,0.0268731263686668,0.025151978512883,"YPL111W/YFL018C/YEL046C/YGL256W/YLR231C/YFR055W/YGL196W/YER043C/YJL060W/YHR208W/YNL239W/YGR087C/YDR148C/YLR044C/YLR098C/YLR438W/YMR303C/YLR142W/YIR023W/YDL168W/YHR037W/YJR078W/YLR134W/YCL064C/YJR148W/YOL086C/YKL106W/YAL044C/YDL080C",29
"GO:0055070","copper ion homeostasis","14/1875","20/5796",0.7,2.16384,3.60515233073859,0.000611850690239269,0.0268731263686668,0.025151978512883,"YMR244C-A/YGL166W/YBR010W/YHR175W/YJL077C/YDR515W/YER053C/YPR008W/YDR270W/YDR107C/YER113C/YEL027W/YMR021C/YBR024W",14
"GO:0009154","purine ribonucleotide catabolic process","20/1875","33/5796",0.606060606060606,1.87345454545455,3.47938033382194,0.000757517435854047,0.0316074150110101,0.029583049337037,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YOL136C/YKL152C/YOR347C/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",20
"GO:0046031","ADP metabolic process","20/1875","33/5796",0.606060606060606,1.87345454545455,3.47938033382194,0.000757517435854047,0.0316074150110101,0.029583049337037,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YOL136C/YKL152C/YOR347C/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",20
"GO:0015849","organic acid transport","39/1875","78/5796",0.5,1.5456,3.3545056099799,0.000843813764410867,0.0339225008579538,0.0317498604731503,"YGR260W/YPR058W/YKL217W/YEL062W/YJL193W/YMR246W/YHL036W/YKR013W/YLL015W/YJL079C/YGR191W/YOL147C/YBR043C/YJR095W/YNL065W/YEL064C/YGL080W/YIL006W/YGL077C/YJL078C/YJR152W/YKR105C/YGR243W/YOR049C/YKR039W/YKL120W/YPL265W/YOR348C/YNL101W/YIL121W/YIL088C/YCR028C/YEL063C/YDL210W/YHR162W/YCR075C/YCL025C/YMR034C/YIL166C",39
"GO:0006006","glucose metabolic process","32/1875","61/5796",0.524590163934426,1.6216131147541,3.37479432416181,0.000853651908947909,0.0339225008579538,0.0317498604731503,"YMR105C/YBR218C/YJR009C/YDR050C/YNR071C/YJL052W/YJL089W/YLR377C/YML028W/YGL253W/YLR044C/YMR205C/YKR097W/YGR240C/YHR043C/YDL085W/YBR196C/YGL062W/YMR280C/YKL152C/YLR134W/YNL241C/YDR511W/YLR446W/YMR145C/YOL086C/YOL126C/YJL155C/YCR012W/YKL060C/YEL012W/YOR047C",32
"GO:0009166","nucleotide catabolic process","23/1875","40/5796",0.575,1.77744,3.41165745595241,0.000876952347722151,0.0340379876360063,0.0318579506491964,"YJR009C/YBR252W/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YHR202W/YOL136C/YKL152C/YOR347C/YER005W/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",23
"GO:0005975","carbohydrate metabolic process","108/1875","260/5796",0.415384615384615,1.28403692307692,3.24035332363941,0.000909664807078518,0.034386658580228,0.032184290204067,"YGL156W/YMR105C/YNR001C/YIL050W/YIL107C/YFR017C/YBR218C/YKR058W/YBR298C/YHL032C/YOR190W/YFR021W/YPL248C/YIL123W/YCR005C/YJR009C/YLR144C/YJL216C/YAL038W/YDR050C/YJL221C/YLR343W/YOL132W/YKL048C/YOL056W/YNR071C/YNL117W/YNR067C/YOR178C/YGR043C/YJL052W/YEL011W/YJL089W/YIR031C/YLR377C/YPR001W/YML028W/YNR073C/YDL021W/YER054C/YHR101C/YJL137C/YMR305C/YPR184W/YGL253W/YOL030W/YLR044C/YIL155C/YMR205C/YLR300W/YDL049C/YGR287C/YKR097W/YPL075W/YHR174W/YFL053W/YGR240C/YFR003C/YDL236W/YHR043C/YJL034W/YIL053W/YMR311C/YDL085W/YGR256W/YBR196C/YGL062W/YMR280C/YCL018W/YGR292W/YLR258W/YER065C/YLR174W/YOL136C/YDR420W/YGR143W/YKL152C/YOR347C/YPL201C/YNL242W/YFR042W/YLR134W/YIL162W/YNL241C/YFR015C/YJR159W/YDR511W/YLR446W/YMR164C/YOR344C/YMR145C/YML070W/YGR254W/YOL086C/YER059W/YGR189C/YOL126C/YJL155C/YHR183W/YML051W/YCR012W/YEL070W/YBR299W/YKL060C/YEL012W/YOR047C/YIL172C/YGL134W",108
"GO:1902600","proton transmembrane transport","48/1875","101/5796",0.475247524752475,1.46908514851485,3.28847421492535,0.000969157337341053,0.034386658580228,0.032184290204067,"YHR094C/Q0275/YBR298C/YML030W/YOR137C/YKL217W/YHR039C-A/YDR343C/YDL138W/YDR536W/Q0250/YPR020W/YPR191W/YML123C/YHR096C/YGL008C/Q0105/YOL027C/YHR092C/YJR121W/YKL016C/YNR072W/Q0130/YDR342C/YEL069C/YGL191W/YLR447C/YML081C-A/YBR127C/YCL005W-A/YPL271W/YOL077W-A/YLR295C/YMR256C/YEL027W/YDR345C/Q0085/YBL099W/YPR128C/YDR529C/YOR065W/YJL166W/YFR033C/YDR322C-A/Q0045/YPL036W/YDL183C/YPL078C",48
"GO:0072521","purine-containing compound metabolic process","82/1875","190/5796",0.431578947368421,1.33409684210526,3.23781148685018,0.000978251876871357,0.034386658580228,0.032184290204067,"YEL041W/YJR105W/YNR001C/YML075C/YLR231C/YIL009W/YJR009C/YMR246W/YBR252W/YBR117C/YER043C/YAL038W/YDR050C/YLR153C/YGR204W/YPR020W/YOL056W/YPL061W/YJR019C/YHR074W/YGR043C/YGR010W/YJL052W/YMR207C/YIR031C/YNR016C/YNR043W/YDR148C/YMR208W/YKL181W/YDL021W/YJR121W/YKL016C/YGL253W/YIL155C/YMR205C/YPL075W/YMR303C/YHR174W/Q0130/YNL129W/YGR240C/YLR450W/YDL085W/YGR256W/YBR196C/YML081C-A/YOL061W/YBR127C/YHR202W/YPL271W/YLR174W/YJR078W/YOL136C/YOL077W-A/YCL047C/YKL152C/YDR400W/YOR347C/YMR220W/YLR295C/YOR374W/Q0085/YNL241C/YBL099W/YLR446W/YOR344C/YIR027C/YMR145C/YIR028W/YDL238C/YGR254W/YOL086C/YHL011C/YJL116C/YPL273W/YHR183W/YDR322C-A/YCR012W/YNL141W/YKL060C/YPL078C",82
